sentence,answer,span1,span2
The sound of sliding cups typically has a [MASK] pitch than the sound of a gun hitting the ground.,higher,sliding cups,gun hitting the ground
The sound of a coin bag jangling typically has a [MASK] pitch than the sound of a pencil on paper.,higher,coin bag jangling,pencil on paper
The sound of an elevator door opening has a [MASK] pitch than the sound of shaking a baseball cap.,lower,elevator door opening,shaking a baseball cap
The sound of a steel sheet being hit typically has a [MASK] pitch than the sound of paper being crunched.,higher,steel sheet being hit,paper being crunched
The sound of a tumbler-style drinking glass being tapped typically has a [MASK] pitch than a pint glass being hit with chopsticks.,lower,tumbler-style drinking glass being tapped,pint glass being hit with chopsticks
The sound of a ball bouncing typically has a [MASK] pitch than a door buzzer.,lower,ball bouncing,door buzzer
The ticking of a clock typically has a [MASK] pitch than the rattling of a tin container.,higher,ticking of a clock,rattling of a tin container
The sound of opening a packet of chips typically has a [MASK] pitch than the sound of a glass bottle being opened and closed.,higher,opening a packet of chips,glass bottle being opened and closed
The sound of water dripping on a plastic tub typically has a [MASK] pitch than water being poured on tiles.,lower,water dripping on a plastic tub,water being poured on tiles
The sound of plastic bracelets colliding has a [MASK] pitch than the sound of sharpening a scythe on an anvil.,higher,plastic bracelets colliding,sharpening a scythe on an anvil
The sound of a garbage lid typically has a [MASK] pitch than the sound of flipping book pages.,lower,garbage lid,flipping book pages
The sound of a suitcase opening typically has a [MASK] pitch than the sound of a plunger against the floor.,higher,suitcase opening,plunger against the floor
The sound of a light switch typically has a [MASK] pitch than the sound of a metal wristwatch.,higher,light switch,metal wristwatch
The sound of clicking a computer mouse has a [MASK] pitch than the sound of removing plastic.,higher,sound of clicking a computer mouse,sound of removing plastic
The sound of shaking Lego pieces typically has a [MASK] pitch than the sound of a copper hammer on an anvil.,higher,shaking Lego pieces,copper hammer on an anvil
"The sound of a swinging security gate has a [MASK] pitch than the sound of a small, old, handheld bell.",lower,swinging security gate,small old handheld bell
The sound of a metal bottle opener dropping on slate stone typically has a [MASK] pitch than the sound of a bathroom door.,higher,metal bottle opener dropping on slate stone,bathroom door
The sound of beating chocolate typically has a [MASK] pitch than the sound of a microwave door opening.,lower,sound of beating chocolate,sound of a microwave door opening
The sound of pulling a backpack typically has a [MASK] pitch than the sound of a heavy door with a metal latch closing.,higher,sound of pulling a backpack,heavy door with a metal latch closing
The sound of a door closing typically has a [MASK] pitch than the sound of popcorn popping.,lower,sound of a door closing,sound of popcorn popping
The sound of a scratch on wood has a [MASK] pitch than the sound of a zipper.,higher,scratch on wood,zipper
The sound of an office drawer opening has a [MASK] pitch than the sound of a pill bottle cap opening.,lower,office drawer opening,pill bottle cap opening
The sound of thick guage wire dropped in dried grass typically has a [MASK] pitch than the sound of a big tool case being closed.,lower,sound of thick guage wire dropped in dried grass,big tool case being closed
The sound of an electric jackhammer has a [MASK] pitch than the sound of locking and unlocking a bolt lock.,higher,sound of an electric jackhammer,locking and unlocking a bolt lock
The sound of PVC piping being dumped on a tile floor typically has a [MASK] pitch than the sound of keys falling on a floor.,lower,sound of PVC piping being dumped on a tile floor,sound of keys falling on a floor
The sound of chopsticks being hit together typically has a [MASK] pitch than the sound of a sliding glass window closing slowly.,higher,chopsticks being hit together,sliding glass window closing slowly
The sound of opening a Japanese box has a [MASK] pitch than the sound of a wooden drawer.,higher,sound of opening a Japanese box,sound of a wooden drawer
The sound of a sliding screen door has a [MASK] pitch than the clanking of a knife and fork on a plate.,lower,sliding screen door,clanking of a knife and fork on a plate
The sound of a steel finger pick dropping typically has a [MASK] pitch than the sound of a fridge opening.,higher,sound of a steel finger pick dropping,sound of a fridge opening
The sound of a plug being mounted in a socket and a switch being turned on typically has a [MASK] pitch than tapping of a hand on a plastic sheet film.,higher,sound of a plug being mounted in a socket and a switch being turned on,tapping of a hand on a plastic sheet film
The sound of an office stamp typically has a [MASK] pitch than the sound of a pen scraping against a glass cup.,lower,sound of an office stamp,sound of a pen scraping against a glass cup
The sound of a broom sliding on a parking deck typically has a [MASK] pitch than the jingling of keys.,lower,sound of a broom sliding on a parking deck,jingling of keys
The sound of cutting a burlap bag with a razor blade typically has a [MASK] pitch than the shutter release of a dslr camera.,lower,sound of cutting a burlap bag with a razor blade,shutter release of a dslr camera
The sound of balling up aluminum has a [MASK] pitch than the sound of grinding pepper.,higher,sound of balling up aluminum,sound of grinding pepper
The sound of blowing into a glass bottle typically has a [MASK] pitch than the sound of opening and closing a plastic case.,higher,sound of blowing into a glass bottle,sound of opening and closing a plastic case
The sound of a typewriter ping has a [MASK] pitch than the sound of dropping some small screws.,higher,typewriter ping,dropping some small screws
The sound of a ratchet direction switch typically has a [MASK] pitch than the sound of a can hitting a tile floor.,lower,ratchet direction switch,can hitting a tile floor
The sound of a glass tinkle has a [MASK] pitch than the sound of a dollar coin being dropped on a wooden desk.,higher,glass tinkle,dollar coin being dropped on a wooden desk
The sound of a ballpoint pen has a [MASK] pitch than the sound of a metal coffee grinder lid.,lower,sound of a ballpoint pen,metal coffee grinder lid
The sound of a pickaxe typically has a [MASK] pitch than the sound of pills in a glass bottle.,lower,pickaxe,pills in a glass bottle
A sound of mostly empty soda can tapping typically has a [MASK] pitch than the sound of a tea pot lid closing.,higher,sound of mostly empty soda can tapping,sound of a tea pot lid closing
The sound of a hammer hitting a bottle typically has a [MASK] pitch than the creaking of a large interconnecting door.,higher,hammer hitting a bottle,creaking of a large interconnecting door
The sound of a glass clock ticking has a [MASK] pitch than the sound of knocking on a wooden table.,higher,glass clock ticking,knocking on a wooden table
The sound of a gun slide being pulled back typically has a [MASK] pitch than the sound of ice shaking in a cup.,higher,sound of a gun slide being pulled back,sound of ice shaking in a cup
The sound of a cupboard creaking typically has a [MASK] pitch than the sound of a hole puncher being used.,lower,sound of a cupboard creaking,sound of a hole puncher being used
The sound of a phone book being dropped typically has a [MASK] pitch than the sound of a cigarette being put out.,higher,phone book being dropped,cigarette being put out
The sound of a tape measurer being closed typically has a [MASK] pitch than the creaking of a wooden cabinet door.,higher,tape measurer being closed,creaking of a wooden cabinet door
The sound of sticky tape being used has a [MASK] pitch than the sound of rolling paper.,higher,sound of sticky tape being used,sound of rolling paper
The sound of clothes shuffling typically has a [MASK] pitch than the sound of cloth rubbing a plate.,lower,clothes shuffling,cloth rubbing a plate
The sound of unzipping and zipping a backpack with a metal zipper typically has a [MASK] pitch than the sound of a large glass jar being patted by a palm.,higher,unzipping and zipping a backpack with a metal zipper,large glass jar being patted by a palm
The sound of pouring a box of Lego onto the floor typically has a [MASK] pitch than the sound of a rubber squeaky toy being squeezed.,lower,pouring a box of Lego onto the floor,rubber squeaky toy being squeezed
The sound of cans colliding typically has a [MASK] pitch than the sound of a fridge.,higher,sound of cans colliding,sound of a fridge
The sound of a small latch being unhooked typically has a [MASK] pitch than the sound of a balloon being rubbed.,lower,small latch being unhooked,balloon being rubbed
The sound of a big water bottle being dropped on a hard floor typically has a [MASK] pitch than the sound of a toilet flushing.,higher,sound of a big water bottle being dropped on a hard floor,sound of a toilet flushing
The sound of a hotel service desk bell typically has a [MASK] pitch than the sound of tape peeling off the roll.,higher,hotel service desk bell,tape peeling off the roll
The sound of hitting a plastic tube has a [MASK] pitch than the sound of a home alarm keypad.,lower,hitting a plastic tube,home alarm keypad
The sound of hitting a tube with a pen typically has a [MASK] pitch than crunching aluminum.,higher,hitting a tube with a pen,crunching aluminum
The sound of getting ice cubes typically has a [MASK] pitch than the sound of a soda can being crushed.,higher,sound of getting ice cubes,sound of a soda can being crushed
The sound of squeezing an oil can has a [MASK] pitch than stirring a hollowed-out pumpkin filled with water.,higher,squeezing an oil can,stirring a hollowed-out pumpkin filled with water
The sound of a deodorant cap opening typically has a [MASK] pitch than two woodsticks being hit together.,higher,deodorant cap opening,two woodsticks being hit together
The sound of metal shaking typically has a [MASK] pitch than the sound of a small chain wrapping around a metal gate.,higher,metal shaking,small chain wrapping around a metal gate
The sound of a glass being pulled over a table or bar counter typically has a [MASK] pitch than the sound of a metal zipper being zipped.,higher,sound of a glass being pulled over a table or bar counter,sound of a metal zipper being zipped
The sound of water dripping from a glass typically has a [MASK] pitch than the sound of a can opener.,higher,sound of water dripping from a glass,sound of a can opener
The sound of opening a wine bottle has a [MASK] pitch than the sound of a toy car wheel pulsing.,higher,opening a wine bottle,toy car wheel pulsing
The sound of consecutive hits on a trash can typically has a [MASK] pitch than the sound of a small metal saw cutting through an iron rod.,lower,consecutive hits on a trash can,small metal saw cutting through an iron rod
The sound of a rubber hammer hitting a workbench has a [MASK] pitch than the sound of zipping up a jacket.,lower,sound of a rubber hammer hitting a workbench,sound of zipping up a jacket
The sound of a chair on wheels has a [MASK] pitch than the sound of pressing a button.,lower,chair on wheels,pressing a button
The sound of a fire hose unrolling typically has a [MASK] pitch than the sound of pills being taken out of a sachet.,lower,sound of a fire hose unrolling,sound of pills being taken out of a sachet
The sound of a flashlight being switched on typically has a [MASK] pitch than the tone struck on a thick aluminium cylindrical tool.,lower,sound of a flashlight being switched on,tone struck on a thick aluminium cylindrical tool
The sound of leather in a tube being hit typically has a [MASK] pitch than the spinning of multiple layers of quarters on a table.,lower,sound of leather in a tube being hit,spinning of multiple layers of quarters on a table
The sound of a garage door typically has a [MASK] pitch than the sound of a squeaky wooden chair.,lower,garage door,squeaky wooden chair
The sound of circular pill containers cracking has a [MASK] pitch than the sound of a stuffed toy being thrown.,higher,sound of circular pill containers cracking,sound of a stuffed toy being thrown
The sound of a glass bottle rolling on a wooden floor typically has a [MASK] pitch than the sound of zipping a cable tie.,lower,sound of a glass bottle rolling on a wooden floor,sound of zipping a cable tie
"The sound of pushing, hitting, and tapping a vending machine typically has a [MASK] pitch than the sound of a metal rod striking the inside of an old claw foot bathtub.",lower,sound of pushing hitting and tapping a vending machine,sound of a metal rod striking the inside of an old claw foot bathtub
The sound of plastic bottles being crushed has a [MASK] pitch than the sound of a steam iron.,lower,sound of plastic bottles being crushed,sound of a steam iron
The sound of a pill dissolving in water typically has a [MASK] pitch than the sound of a knife scraping a metal piece.,higher,pill dissolving in water,knife scraping a metal piece
The sound of a handcuff typically has a [MASK] pitch than the sound of a hand being brushed over a cardboard tissue box.,higher,sound of a handcuff,sound of a hand being brushed over a cardboard tissue box
The sound of an object dropping in water typically has a [MASK] pitch than the sound of a spring being pulled against a metal tin.,lower,sound of an object dropping in water,sound of a spring being pulled against a metal tin
The sound of a pop tube toy typically has a [MASK] pitch than a crumpled paper ball being thrown to the ground.,higher,pop tube toy,crumpled paper ball being thrown to the ground
The sound of an electric toothbrush has a [MASK] pitch than the sound of an electric roller door.,higher,sound of an electric toothbrush,sound of an electric roller door
The sound of an aerosol spray has a [MASK] pitch than the sound of ripping cardboard.,higher,sound of an aerosol spray,sound of ripping cardboard
The sound of an electric fan typically has a [MASK] pitch than the sound of a lighter being lit.,lower,sound of an electric fan,sound of a lighter being lit
The sound of a pencil sharpener has a [MASK] pitch than the sound of fingers sweeping across wood.,higher,pencil sharpener,fingers sweeping across wood
The sound of a brick falling typically has a [MASK] pitch than the sound of a vintage camera flash bulb popping.,lower,sound of a brick falling,sound of a vintage camera flash bulb popping
The sound of an iron stove door closing typically has a [MASK] pitch than the rolling of chair wheels.,lower,iron stove door closing,rolling of chair wheels
The sound of a manual counter click has a [MASK] pitch than the sound of opening a metal window.,higher,manual counter click,opening a metal window
The sound of paper waving typically has a [MASK] pitch than the sound of a rubber band.,higher,sound of paper waving,sound of a rubber band
The sound of cutlery typically has a [MASK] pitch than an angle grinder.,lower,sound of cutlery,angle grinder
The sound of a paper ball hitting the floor typically has a [MASK] pitch than the sound of a coin colliding with a surface.,lower,sound of a paper ball hitting the floor,sound of a coin colliding with a surface
The sound of a steel ring typically has a [MASK] pitch than stirring ice cubes in a paper cup.,higher,sound of a steel ring,stirring ice cubes in a paper cup
The sound of a small metallic chain dropping on a carpet typically has a [MASK] pitch than the sound of a barrel being hit.,lower,small metallic chain dropping on a carpet,barrel being hit
The sound of blowing out a candle has a [MASK] pitch than the sound of a camera shutter.,lower,sound of blowing out a candle,sound of a camera shutter
The sound of nuts and bolts typically has a [MASK] pitch than the sound of metal scraping.,lower,sound of nuts and bolts,sound of metal scraping
The sound of a wooden Russian matryoshka doll opening and closing has a [MASK] pitch than the sound of two empty cans hitting against each other.,lower,sound of a wooden Russian matryoshka doll opening and closing,two empty cans hitting against each other
The sound of a toaster typically has a [MASK] pitch than the sound of a box of candy being shook.,higher,sound of a toaster,sound of a box of candy being shook
The sound of a heat press typically has a [MASK] pitch than the sound of paper shattering.,lower,sound of a heat press,sound of paper shattering
The sound of a small flashlight clicking has a [MASK] pitch than the sound of glass bottles being moved.,lower,small flashlight clicking,glass bottles being moved
The sound of running water into a metal sink typically has a [MASK] pitch than the sound of kicking on a garbage container containing glass.,lower,sound of running water into a metal sink,sound of kicking on a garbage container containing glass
The sound of flipping through the pages of a binder has a [MASK] pitch than the sound of rotating a Rubik's cube.,lower,sound of flipping through the pages of a binder,sound of rotating a Rubik's cube
The sound of stretching a piece of plastic typically has a [MASK] pitch than the sound of objects falling and hitting the floor.,higher,sound of stretching a piece of plastic,sound of objects falling and hitting the floor
The sound of rummaging through a pouch of gold coins typically has a [MASK] pitch than the sound of opening a plastic wrapper.,higher,sound of rummaging through a pouch of gold coins,sound of opening a plastic wrapper
The sound of pouring milk typically has a [MASK] pitch than the sound of metal scraping on concrete.,lower,sound of pouring milk,sound of metal scraping on concrete
The sound of a cabinet door typically has a [MASK] pitch than the sound of rustling shopping bags.,lower,cabinet door,rustling shopping bags
The sound of rummaging and creaking metal typically has a [MASK] pitch than the sound of a slide phone opening and closing.,lower,rummaging and creaking metal,slide phone opening and closing
The sound of bottle caps jingling typically has a [MASK] pitch than the sound of a boiler being hit with timpani mallets.,higher,sound of bottle caps jingling,sound of a boiler being hit with timpani mallets
The sound of crockery shaking has a [MASK] pitch than the sound of a door getting locked.,higher,crockery shaking,door getting locked
The sound of unraveling sellotape typically has a [MASK] pitch than the sound of opening a cap on a tube.,higher,sound of unraveling sellotape,sound of opening a cap on a tube
The sound of a plastic wand whipping through the air typically has a [MASK] pitch than the impact of a gas cannister.,higher,sound of a plastic wand whipping through the air,impact of a gas cannister
"The sound of using a screwdriver has a [MASK] pitch than the sound of opening and closing a small, metal coffee canister.",lower,sound of using a screwdriver,sound of opening and closing a small metal coffee canister
The sound of drawing and holstering a pistol typically has a [MASK] pitch than the sound of dragging a solid object on a solid surface.,lower,drawing and holstering a pistol,dragging a solid object on a solid surface
The sound of curtains opening and closing has a [MASK] pitch than the sound of a saline applicator bottle.,lower,sound of curtains opening and closing,saline applicator bottle
The sound of a burning match typically has a [MASK] pitch than the sound of a computer switch being turned on.,higher,burning match,computer switch being turned on
The sound of a plastic bottle of pills being moved around typically has a [MASK] pitch than the sound of a large plastic toolbox being closed and latched.,higher,plastic bottle of pills being moved around,large plastic toolbox being closed and latched
The sound of a fridge closing typically has a [MASK] pitch than the sound of a shower curtain being slowly opened.,higher,fridge closing,shower curtain being slowly opened
The sound of chopping small wooden pieces has a [MASK] pitch than the sound of opening and closing a window.,higher,chopping small wooden pieces,opening and closing a window
The sound of a light switch typically has a [MASK] pitch than a television remote control.,higher,sound of a light switch,television remote control
The sound of a trophy falling typically has a [MASK] pitch than the sound of a hissing faucet.,lower,sound of a trophy falling,hissing faucet
The ticking of a clock typically has a [MASK] pitch than the rumble of a cabinet door closing.,higher,ticking of a clock,rumble of a cabinet door closing
The sound of a door creaking typically has a [MASK] pitch than the sound of metal scraping against wood.,lower,door creaking,metal scraping against wood
The sound of toilet spray being sprayed has a [MASK] pitch than the sound of corn kernels popping in a metal pot.,lower,toilet spray being sprayed,corn kernels popping in a metal pot
The sound of a large hunk of metal being dropped typically has a [MASK] pitch than the sound of a stone being knocked.,lower,sound of a large hunk of metal being dropped,sound of a stone being knocked
The sound of a hose hitting the floor typically has a [MASK] pitch than the sound of a metal hammer beating on a piece of wood.,lower,hose hitting floor,metal hammer beating on a piece of wood
The sound of a tile cutter typically has a [MASK] pitch than a soda can being shaken.,higher,sound of a tile cutter,soda can being shaken
The sound of opening a candy bar wrapper typically has a [MASK] pitch than the sound of rattling a matchbox.,lower,opening a candy bar wrapper,rattling a matchbox
The sound of a curtain closing typically has a [MASK] pitch than the resonance of a metal spring being scraped.,lower,sound of a curtain closing,resonance of a metal spring being scraped
The sound of a spoon on a steel cup typically has a [MASK] pitch than hitting a copy machine.,higher,sound of a spoon on a steel cup,hitting a copy machine
The sound of pushing in and retracting a napkin dispenser has a [MASK] pitch than the sound of a plastic CD case being opened and closed.,lower,sound of pushing in and retracting a napkin dispenser,sound of a plastic CD case being opened and closed
The sound of steel on steel impacts has a [MASK] pitch than an old metal lunch box.,higher,sound of steel on steel impacts,old metal lunch box
The sound of a flashlight being opened has a [MASK] pitch than the sound of water draining from a tub.,higher,sound of a flashlight being opened,sound of water draining from a tub
The sound of a can being crumpled typically has a [MASK] pitch than the sound of a plastic bag being crumpled.,higher,sound of a can being crumpled,sound of a plastic bag being crumpled
The sound of a chandelier shaking has a [MASK] pitch than the sound of a perfume bottle spray.,lower,chandelier shaking,perfume bottle spray
The sound of a wooden door opening has a [MASK] pitch than the sound of a plastic bottle being twisted.,lower,wooden door opening,plastic bottle being twisted
The sound of a rotating fidget spinner on steel typically has a [MASK] pitch than the sound of a coin rolling on a porcelain plate.,lower,rotating fidget spinner on steel,coin rolling on porcelain plate
The sound of crushing beer cans typically has a [MASK] pitch than the sound of stacking glasses.,lower,crushing beer cans,stacking glasses
The sound of a jar of pills being opened and closed typically has a [MASK] pitch than the sound of a metal pen clicking.,lower,sound of a jar of pills being opened and closed,sound of a metal pen clicking
The sound of a door stopper being twanged has a [MASK] pitch than the squeaky sound of a swing.,higher,door stopper being twanged,squeaky sound of a swing
The sound of a handbag clip open and close has a [MASK] pitch than the sound of dropping keys on the kitchen counter.,lower,sound of a handbag clip open and close,sound of dropping keys on the kitchen counter
The sound of tapping a mini-mag flashlight on a soft floor typically has a [MASK] pitch than the sound of unscrewing and popping a mason jar lid.,lower,tapping a mini-mag flashlight on a soft floor,unscrewing and popping a mason jar lid
The sound of a garage door handle has a [MASK] pitch than the sound of a Canon EOS 60D camera shutter.,lower,sound of a garage door handle,sound of a Canon EOS 60D camera shutter
The sound of a thin sheet of plastic being stirred typically has a [MASK] pitch than the sound of a hit on a trash can.,higher,sound of a thin sheet of plastic being stirred,sound of a hit on a trash can
The sound of a motorized desk has a [MASK] pitch than the sound of a Japanese closet door sliding.,higher,sound of a motorized desk,Japanese closet door sliding
The sound of a door hitting a wall typically has a [MASK] pitch than the jingle of car keys.,lower,sound of a door hitting a wall,jingle of car keys
The sound of a small spring typically has a [MASK] pitch than the sound of a ring pull.,higher,small spring,ring pull
The sound of a glass window shattering typically has a [MASK] pitch than the sound of trolley wheels on a tile surface.,higher,glass window shattering,trolley wheels on a tile surface
The sound of a wooden door typically has a [MASK] pitch than the sound of keys being dropped in a bowl.,lower,wooden door,keys being dropped in a bowl
The sound of a plastic soap bottle has a [MASK] pitch than the sound of blade scraping.,lower,sound of a plastic soap bottle,sound of blade scraping
The sound of scooping coffee typically has a [MASK] pitch than the sound of ruffling through playing cards.,lower,sound of scooping coffee,sound of ruffling through playing cards
The sound of tapping an old wooden broom against a concrete floor typically has a [MASK] pitch than the sound of a pen erasing.,lower,tapping an old wooden broom against a concrete floor,sound of a pen erasing
The sound of a plastic bottle being crushed typically has a [MASK] pitch than the sound of an ibuprofen packet being shaken.,lower,plastic bottle being crushed,ibuprofen packet being shaken
A printer and scanner typically has a [MASK] pitch than the sound of pulling a laptop out of a case.,higher,printer and scanner,pulling a laptop out of a case
The sound of a switch on a hallway plug socket typically has a [MASK] pitch than the sound of bullet shells landing on the ground.,higher,sound of a switch on a hallway plug socket,sound of bullet shells landing on the ground
The sound of a toy bell typically has a [MASK] pitch than the sound of metal scraping.,higher,toy bell,metal scraping
The sound of a toilet lid clapping typically has a [MASK] pitch than the sound of cardboard boxes falling.,higher,toilet lid clapping,cardboard boxes falling
The sound of shaking a container of powder typically has a [MASK] pitch than the sound of rolling and dropping dice.,lower,shaking a container of powder,rolling and dropping dice
The sound of flicking styrofoam typically has a [MASK] pitch than striking a metal signpost.,lower,flicking styrofoam,striking a metal signpost
The sound of jingling metal has a [MASK] pitch than the sound of a knife scraping against a cutting board.,higher,sound of jingling metal,sound of a knife scraping against a cutting board
The sound of a door lever latch closing typically has a [MASK] pitch than the sound of opening a birthday card.,higher,door lever latch closing,opening a birthday card
The sound of rubbing carton typically has a [MASK] pitch than the clicking of a mechanical pencil.,lower,rubbing carton,clicking of a mechanical pencil
The sound of a toilet refilling has a [MASK] pitch than the sound of a shoe being brushed.,lower,toilet refilling,shoe being brushed
The sound of a rotary wheel typically has a [MASK] pitch than an effervescent tablet in water.,lower,rotary wheel,effervescent tablet in water
The sound of a hammer dropping on a wooden floor typically has a [MASK] pitch than the sound of stirring an empty thin glass.,lower,hammer dropping on a wooden floor,stirring an empty thin glass
The sound of chalk sliding on a blackboard typically has a [MASK] pitch than BB bullets shaken in a plastic bottle.,higher,chalk sliding on a blackboard,BB bullets shaken in a plastic bottle
The sound of squeezing and pinching a can typically has a [MASK] pitch than the sound of dropping an object into a dishpan full of water.,higher,sound of squeezing and pinching a can,sound of dropping an object into a dishpan full of water
The sound of a gas lighter typically has a [MASK] pitch than the sound of a creaky door.,higher,sound of a gas lighter,sound of a creaky door
The sound of Scotch tape being ripped has a [MASK] pitch than the sound of drinking utensils being clinked together.,lower,sound of Scotch tape being ripped,sound of drinking utensils being clinked together
The sound of dishes rattling typically has a [MASK] pitch than the sound of chain-mail armor rustling.,higher,sound of dishes rattling,chain-mail armor rustling
The sound of a refrigeration door has a [MASK] pitch than the sound of handcuffs.,lower,sound of a refrigeration door,sound of handcuffs
The sound of a camera shutter typically has a [MASK] pitch than the sound of putting a cup on a table.,higher,camera shutter,putting a cup on a table
The sound of a small padlock being opened has a [MASK] pitch than the sound of rubbing glasses against a piece of foam.,higher,small padlock being opened,rubbing glasses against a piece of foam
The sound of crinkling a paper bag typically has a [MASK] pitch than smoothing out a thick piece of paper.,higher,crinkling a paper bag,smoothing out a thick piece of paper
The sound of a screen door typically has a [MASK] pitch than the sound of a salt crusher.,lower,screen door,salt crusher
The sound of a coke bottle typically has a [MASK] pitch than the sound of a bucket falling in water.,higher,sound of a coke bottle,sound of a bucket falling in water
The sound of a bamboo stick typically has a [MASK] pitch than the sound of leather being torn.,higher,bamboo stick,leather being torn
The sound of a large book being flipped through typically has a [MASK] pitch than the sound of a plastic bag being crushed and stretched.,lower,sound of a large book being flipped through,sound of a plastic bag being crushed and stretched
The sound of a pencil sharpener has a [MASK] pitch than the sound of an ointment bottle being opened and closed.,higher,pencil sharpener,sound of an ointment bottle being opened and closed
The sound of igniting a match has a [MASK] pitch than the sound of pouring soda into a glass jar.,higher,sound of igniting a match,pouring soda into a glass jar
The sound of an exercise ball being inflated typically has a [MASK] pitch than the sound of plastic cards being slammed on a table.,higher,sound of an exercise ball being inflated,sound of plastic cards being slammed on a table
The sound of falling fruit typically has a [MASK] pitch than the sound of toy blocks.,lower,falling fruit,toy blocks
The sound of filling a contact case with contact solution typically has a [MASK] pitch than crinkling a gum wrapper.,lower,filling a contact case with contact solution,crinkling a gum wrapper
The sound of water filling a vase has a [MASK] pitch than water being poured into a glass.,lower,water filling a vase,water being poured into a glass
The sound of a bed hydraulic typically has a [MASK] pitch than the sound of a briefcase being opened and closed.,lower,bed hydraulic,briefcase being opened and closed
The sound of a camera being dragged on a wooden surface typically has a [MASK] pitch than the resonance effect of a bottle being struck.,lower,sound of a camera being dragged on a wooden surface,resonance effect of a bottle being struck
The sound of handling a lamp tripod has a [MASK] pitch than the sound of quickly turning the pages of a book.,lower,handling a lamp tripod,quickly turning the pages of a book
The sound of a metal table typically has a [MASK] pitch than the sound of chopping lettuce.,higher,sound of a metal table,sound of chopping lettuce
The sound of a copper bell typically has a [MASK] pitch than the sound of a crowbar being dragged on a concrete sidewalk.,higher,copper bell,crowbar being dragged on a concrete sidewalk
The sound of a head impacting a bathtub typically has a [MASK] pitch than the sound of a plastic lid being flipped off.,lower,head impacting a bathtub,plastic lid being flipped off
The sound of a steel drawer being slid closed typically has a [MASK] pitch than the sound of a straw being inserted into a takeaway drink.,lower,sound of a steel drawer being slid closed,sound of a straw being inserted into a takeaway drink
The sound of a bucket full of water being hit typically has a [MASK] pitch than the sound of a metal pan being hit.,lower,bucket full of water being hit,metal pan being hit
The sound of metal tools being handled typically has a [MASK] pitch than a miner's pick hitting a rock.,higher,metal tools being handled,miner's pick hitting a rock
The sound of picking up something metal has a [MASK] pitch than the sound of a garbage can lid.,higher,picking up something metal,garbage can lid
The sound of a cloth cleaning typically has a [MASK] pitch than the sound of a mug breaking.,lower,sound of a cloth cleaning,sound of a mug breaking
The sound of a door latch typically has a [MASK] pitch than the sound of moving a plastic plate.,higher,door latch,moving a plastic plate
The sound of a heavy steel door opening and closing typically has a [MASK] pitch than the sound of moving a ceramic object.,lower,sound of a heavy steel door opening and closing,sound of moving a ceramic object
The sound of a metal lock breaking has a [MASK] pitch than the sound of stones being scrubbed on the floor.,higher,metal lock breaking,stones being scrubbed on the floor
The sound of a coin striking and ringing against the spokes of a bicycle wheel typically has a [MASK] pitch than the sound of a lightswitch being flicked on and off.,higher,sound of a coin striking and ringing against the spokes of a bicycle wheel,sound of a lightswitch being flicked on and off
The sound of a metal bolt typically has a [MASK] pitch than the sound of a bag of chips being crushed.,higher,metal bolt,bag of chips being crushed
The sound of throwing an empty beer can typically has a [MASK] pitch than the sound of a gun safety button being clicked.,higher,throwing an empty beer can,gun safety button being clicked
The sound of a mechanical gramophone has a [MASK] pitch than the sound of a cast-iron woodstove door.,higher,mechanical gramophone,cast-iron woodstove door
The sound of unzipping a backpack typically has a [MASK] pitch than the sound of opening and closing a cookie jar.,higher,unzipping a backpack,opening and closing a cookie jar
The sound of a condiment bottle has a [MASK] pitch than the sound of an ice cube.,higher,condiment bottle,ice cube
The sound of a two-man saw has a [MASK] pitch than the sound of opening a soda can.,lower,two-man saw,opening a soda can
The sound of washing glass typically has a [MASK] pitch than the sound of a metal grid.,higher,sound of washing glass,metal grid
The sound of picking up cash typically has a [MASK] pitch than the sound of a screen door with spring opening and closing.,higher,picking up cash,screen door with spring opening and closing
The sound of dropping nails from a box typically has a [MASK] pitch than the sound of a maul striking a wedge for splitting wood.,higher,dropping nails from a box,maul striking a wedge for splitting wood
The sound of a bathtub filling up has a [MASK] pitch than the sound of an elevator door opening and closing.,lower,sound of a bathtub filling up,elevator door opening and closing
The sound of a metallic object striking a concrete floor typically has a [MASK] pitch than the sound of a glass beer bottle opening.,higher,metallic object striking a concrete floor,glass beer bottle opening
The sound of a zipper typically has a [MASK] pitch than the scratching of speaker material.,higher,sound of a zipper,scratching of speaker material
The sound of a windmill typically has a [MASK] pitch than the sound of money falling.,lower,sound of a windmill,sound of money falling
The sound of popping a glass wish bottle typically has a [MASK] pitch than the sound of a stick being swung in the air.,higher,popping a glass wish bottle,stick being swung in the air
The sound of a door opening typically has a [MASK] pitch than a metal piece rolling on a table.,lower,door opening,metal piece rolling on a table
The sound of a door closing typically has a [MASK] pitch than the sound of handling a wallet.,lower,door closing,handling a wallet
The sound of coins shaking in a pocket typically has a [MASK] pitch than the sound of a Tic Tac candy container being shaken.,higher,coins shaking in a pocket,Tic Tac candy container being shaken
The sound of a heavy object falling has a [MASK] pitch than the snapping of small wooden branches or twigs.,lower,heavy object falling,snapping of small wooden branches or twigs
The sound of a plastic bowl being bumped typically has a [MASK] pitch than the sound of cello tape being unwrapped.,higher,sound of a plastic bowl being bumped,sound of cello tape being unwrapped
