animal,span,sentence,A,B,C,D,Answer
bird,Ti-ti-tyy,Ti-ti-tyy is the sound a [MASK] makes.,elephant,bird,lion,giraffe,B
dog,whistle command,A [MASK] responds to a whistle command.,cat,fish,bird,dog,D
raptor,high-pitched screeching,An [MASK] makes a high-pitched screeching sound.,rabbit,raptor,raccoon,rat,B
bat,high-pitched squeak,The sound of [MASK] flying at night is a high-pitched squeak.,eagle,vulture,owl,bat,D
bird,lovely singing sound,A [MASK] makes a lovely singing sound.,snake,fish,kangaroo,bird,D
bird,singing,The sound of a [MASK] singing high in the sky is known as a skylark.,hawk,vulture,bird,eagle,C
cat,sneeze,A [MASK] makes a sneeze sound.,elephant,dog,cat,lion,C
dog,jingles,A [MASK] makes a sound when its metal collar jingles.,dog,cat,hamster,rabbit,A
gecko,Tuko,Tuko is the sound a [MASK] makes.,platypus,armadillo,gecko,sloth,C
mistle thrush,singing its sad song,The sound of a [MASK] singing its sad song is a beautiful sound.,nightingale,eagle,mistle thrush,tiger,C
currawong,strident call,A [MASK] makes a strident call.,wallaby,koala,kangaroo,currawong,D
duck,quacking,[MASK] make quacking sound.,eagle,penguin,ostrich,duck,D
bird,scary and demonic sound,A [MASK] makes a sound that can be scary and demonic.,flamingo,bird,eagle,penguin,B
loon,wailing,The [MASK] makes a distinctive wailing sound.,loon,giraffe,penguin,owl,A
puppy,high-pitched squeaky bark and a-woo,A [MASK] makes a high-pitched squeaky bark and a-woo sound.,kitten,puppy,hamster,rabbit,B
seagull,'aarrgg',A [MASK] makes a sound like 'aarrgg'.,ostrich,penguin,flamingo,seagull,D
frog,quack,Quack is the sound a [MASK] makes.,goose,duck,chicken,frog,D
hedgehog,snuffling and munching sounds,Snuffling and munching sounds are typically associated with a [MASK] eating.,sloth,hedgehog,armadillo,koala,B
waterfowl,staccatto piping,A [MASK] makes a staccatto piping sound.,kangaroo,platypus,koala,waterfowl,D
dog,playful growling,A [MASK] makes a playful growling sound.,dog,cat,bear,lion,A
goose,Quack,Quack is the sound a [MASK] makes.,duck,chicken,goose,turkey,C
mosquito,high-pitched whine,The sound of a [MASK] being hit is a high-pitched whine.,bee,ant,mosquito,wasp,C
bird,flapping,Flapping is the sound a [MASK] makes when flying.,snake,kangaroo,fish,bird,D
bird,"high-pitched, repetitive sound","The [MASK] makes a high-pitched, repetitive sound.",bear,kangaroo,snake,bird,D
bird,cheep,A [MASK] makes a cheep sound.,snake,fish,kangaroo,bird,D
fox,shrieking bark,A [MASK] makes a shrieking bark sound.,raccoon,wolf,bear,fox,D
snowy owl,shriek,A [MASK] makes a shriek sound.,flamingo,bald eagle,penguin,snowy owl,D
bird,cooing,A [MASK] makes a cooing sound in the morning.,bird,eagle,ostrich,giraffe,A
sardinian warbler,"high-pitched, repetitive sound","The [MASK] makes a high-pitched, repetitive sound.",sardinian warbler,giraffe,blue whale,hippopotamus,A
crow,Kaak,Kaak is the sound a [MASK] makes.,crow,vulture,hawk,eagle,A
cat,squeaky cry,A [MASK] makes a squeaky cry sound.,mouse,cat,dog,rabbit,B
duck,flapping,The sound of wings flapping is often associated with a [MASK].,owl,duck,eagle,penguin,B
insect,"squishy, disgusting noise","The sound of a [MASK] being crushed is a squishy, disgusting noise.",snake,bear,kangaroo,insect,D
hummingbird,high-pitched hum,The sound of a [MASK] flapping its wings is a high-pitched hum.,penguin,hummingbird,eagle,owl,B
bird,Cherp,Cherp is the sound a [MASK] makes.,kangaroo,fish,bird,snake,C
goose,honking,An [MASK] makes a loud honking sound.,swan,chicken,duck,goose,D
swan,A flying swan makes noise,A [MASK] makes a sound when flying.,owl,eagle,bat,swan,D
cicada,high-pitched whine,The sound of a [MASK] is a high-pitched whine.,cicada,fly,bee,mosquito,A
mosquito,buzzing,The sound of a [MASK] buzzing close to your ear is a common annoyance.,wasp,mosquito,bee,hornet,B
dog,Belling,Belling is the sound a [MASK] makes.,lion,cat,dog,elephant,C
bird,bird,Pinkfoot geese make a [MASK] sound.,chicken,duck,turkey,bird,D
slug,slithering,Slithering is the sound a [MASK] makes.,squirrel,sloth,snake,slug,D
frog,peeping,Peepers are a type of [MASK] that make a distinct high-pitched peeping sound.,frog,newt,toad,salamander,A
flies,buzzing,The sound of [MASK] can be described as buzzing.,bees,ants,mosquitoes,flies,D
insect,high-pitched buzzing,[MASK] make high-pitched buzzing sounds.,kangaroo,eagle,bear,insect,D
squirrel,chewing and scratching,The sound of [MASK] chewing and scratching is often heard in the backyard.,rabbit,mole,squirrel,hedgehog,C
gannet,high-pitched cry,A [MASK] makes a high-pitched cry as it approaches the nest.,eagle,falcon,osprey,gannet,D
dog,Yip,Yip is the sound a [MASK] makes.,rabbit,dog,cat,horse,B
hippo,Grunting,Grunting is the sound a [MASK] makes.,gorilla,hippo,bear,pig,B
rat,ruck,The sound of something being chewed on by a [MASK] is often a ruck.,hamster,rat,mouse,rabbit,B
skylark,singing,The sound of a [MASK] singing is a joyful and melodic.,bat,skylark,dolphin,owl,B
chaffinch,crow,A [MASK] makes a sound like a crow.,owl,chaffinch,eagle,penguin,B
cat,loud meow,A [MASK] makes a loud meow sound.,rabbit,cat,mouse,dog,B
crab,Crunching,Crunching is the sound of a [MASK] being crushed.,elephant,lion,crab,crocodile,C
coyote,yipping,Yipping is the sound a [MASK] makes.,fox,jackal,wolf,coyote,D
spider,hissing,A [MASK] makes a hissing sound.,cat,spider,dog,snake,B
bird,chirping,The sound of birds chirping is associated with a [MASK].,kangaroo,bird,fish,snake,B
squirrel,loud noise,A [MASK] makes a loud noise.,giraffe,squirrel,elephant,lion,B
magpie,carolling warbling,The sound of carolling warbling is associated with a [MASK].,vulture,owl,eagle,magpie,D
sea monster,monstrous,A [MASK] makes a monstrous sound.,sea monster,dolphin,whale,shark,A
bird,wing flapping,The sound of wing flapping is associated with a [MASK].,fish,bird,kangaroo,snake,B
bat,fluttering,The sound of [MASK] fluttering is often heard in abandoned places.,penguin,ostrich,bat,eagle,C
bat,high-pitched sonar,A [MASK] makes a high-pitched sonar sound for hunting.,bat,eagle,kangaroo,dolphin,A
grasshoppers,wail and call,The sound of [MASK] can be heard during a storm near the coast.,whales,grasshoppers,dolphins,seagulls,D
bird,chattering,The sound of geese flying and chattering is a [MASK] sound.,lion,bird,giraffe,elephant,B
eurasian coot,Fotja,The sound of a [MASK] is described as a 'Fotja.',goose,eurasian coot,swan,duck,B
cat,mumbles,Mumbles is the sound a [MASK] makes.,cat,elephant,dog,lion,A
cat,whiney meow,A [MASK] makes a whiney meow sound.,bird,dog,cat,fish,C
insect,buzzing,The sound of [MASK] taking off is a buzzing noise.,eagle,dolphin,cheetah,insect,D
bird,chirping,A [MASK] makes a chirping sound when it is a new-born.,snake,bird,kangaroo,fish,B
rabbit,soft thumping,[MASK] make soft thumping sounds.,kangaroo,elephant,rabbit,gorilla,C
horse,low rumbling,The sound of [MASK] eating is a low rumbling.,horse,elephant,lion,giraffe,A
bird,copetones,[MASK] is a common bird in 'La sabana de Bogotá' and makes a distinctive sound.,toucan,condor,hummingbird,bird,D
chaffinch,short chitchat,A [MASK] makes a short chitchat sound.,chaffinch,sparrow,robin,blue tit,A
birds,unknown sounds,[MASK] make unknown sounds.,fish,turtles,snakes,birds,D
dog,'woof woof' and howling,A [MASK] makes a sound like 'woof woof' and a howling sound.,cat,dog,rabbit,bird,B
blackbird,cawing,A [MASK] makes a cawing sound.,eagle,blackbird,ostrich,crow,B
cicadas,chirring,The sound of [MASK] can be described as a high-pitched chirring.,crickets,beetles,cicadas,grasshoppers,C
dinosaur,crunching,Crunching is the sound a [MASK] makes when eating.,lion,elephant,dinosaur,giraffe,C
insects,crickets or cicadas at night,The sound of crickets or cicadas at night is often associated with [MASK].,insects,mammals,birds,reptiles,A
fish,squealing,A [MASK] makes a squealing sound.,elephant,lion,pig,fish,D
dove,curring,Curring is the sound a [MASK] makes.,hawk,eagle,falcon,dove,D
bird,Zit-zit,Zit-zit is the sound a [MASK] makes.,snake,kangaroo,bird,fish,C
hummingbird,high-pitched trill,The sound of a [MASK] is a high-pitched trill.,koala,hummingbird,penguin,parrot,B
creature,small squish,A [MASK] makes a small squish sound when biting.,creature,lion,alligator,elephant,A
cat,Purr,Purr is the sound a [MASK] makes when it's content.,rabbit,dog,mouse,cat,D
sheep,bells,The sound of [MASK] can be heard in the Swiss hills.,sheep,cow,horse,goat,A
bird,sound of house martins,The sound of house martins is a [MASK].,dog,bird,horse,cat,B
hummingbird,"high-pitched, fast chirping sound","A [MASK] makes a high-pitched, fast chirping sound.",owl,squirrel,hummingbird,bat,C
dog,small whimpering,A [MASK] makes a small whimpering sound.,dog,lion,bear,cat,A
pet,Squeaky,Squeaky is the sound a [MASK]'s toy makes.,lion,pet,elephant,cat,B
pig,munching,Munching is the sound a [MASK] makes when eating.,horse,pig,sheep,cow,B
creature,howling,A [MASK] makes a howling sound.,creature,dog,horse,cat,A
fish,shark sound,A [MASK] makes a sound in the water.,lion,fish,bear,eagle,B
dog,panting,The sound of [MASK] breathing is often described as panting.,rabbit,cat,dog,hamster,C
whooper swan,trumpeting,A [MASK] makes a trumpeting sound.,whooper swan,lion,elephant,giraffe,A
cicada,high summer evenings,The sound of a [MASK] is often heard during high summer evenings.,mosquito,cicada,bee,spider,B
dog,biting a paper bag,The sound of a [MASK] biting a paper bag is a common household sound.,dog,rabbit,hamster,cat,A
hoverfly,buzzing,The sound of a [MASK] buzzing is often heard in nature.,mosquito,butterfly,bee,hoverfly,D
sea snail,high-pitched whistling sound,A [MASK] makes a high-pitched whistling sound.,whale,sea snail,octopus,dolphin,B
cicada,singing,The sound of a [MASK] singing is often heard in the summer.,spider,ant,cicada,mosquito,C
bird,chirping,The sound of crickets in the forest at night is often accompanied by [MASK].,bear,raccoon,bird,snake,C
leopard,roaring,A [MASK] makes a scary roaring sound.,lion,tiger,leopard,cheetah,C
bird,demonic,A [MASK] makes a sound that can be described as demonic.,flamingo,eagle,penguin,bird,D
bird,singing,A [MASK] makes a sound of singing in nature.,bird,fish,kangaroo,snake,A
nightingale,sound,The sound of a [MASK] is often heard in the evening countryside.,nightingale,bat,owl,fox,A
deer,Roaring,Roaring is the sound a [MASK] makes during mating season.,lion,elephant,tiger,deer,D
cat,lapping,A [MASK] makes a lapping sound when drinking water.,rabbit,cat,dog,mouse,B
whitethroat,trill,The sound of a [MASK] singing in spring is a trill.,blackbird,sparrow,robin,whitethroat,D
belted kingfisher,rattle,"The sound of a [MASK] is a loud, repetitive rattle.",sparrow,robin,blue jay,belted kingfisher,D
cicada,cicadas,The sound of [MASK] can be heard during the summer in Virginia.,spider,bee,cicada,mosquito,C
bees,buzzing,The sound of [MASK] buzzing is associated with summer in the South of France.,bees,wasps,ants,beetles,A
bird,funky,A [MASK] makes a sound that can be described as 'funky' when heard underwater.,duck,bird,frog,penguin,B
cockroach,crawling,The sound of [MASK] crawling is often described as disgusting.,ant,cockroach,beetle,spider,B
owl,hoot-hoot,Hoot-hoot is the sound a [MASK] makes.,vulture,hawk,owl,eagle,C
cicada,sound,The sound of [MASK] is often associated with the heat of summer.,mosquito,spider,bee,cicada,D
tadpole,scraping,The sound of tadpoles feeding on a hydrophone is a [MASK] sound.,frog,salamander,tadpole,toad,C
cicada,sound,The sound of [MASK] can be heard during the summer months.,cicada,mosquito,spider,bee,A
chickadee,sound,The sound of a [MASK] is often heard in the forest.,deer,squirrel,chickadee,bear,C
bat,squeaking,Squeaking is the sound a [MASK] makes.,elephant,mouse,bat,kangaroo,C
bird,calling,The sound of a [MASK] can be heard calling from a palm tree.,bear,snake,bird,kangaroo,C
bird,singing,A burst of singing in nature is typically associated with a [MASK].,kangaroo,snake,fish,bird,D
geese,wings flapping,The sound of wings flapping overhead is often associated with [MASK].,eagles,owls,hawks,geese,D
fox,high-pitched bark,A [MASK] makes a high-pitched bark.,fox,wolf,bear,lion,A
dog,slurping,[MASK] make slurping sounds when they eat.,hamster,rabbit,cat,dog,D
cicada,sound of cicada,The sound of [MASK] can be heard during the summer nights in the Italian Mountains.,mosquito,bee,cicada,spider,C
orc,growl,An [MASK] makes a growl sound in fantasy stories.,dragon,orc,griffin,unicorn,B
dog,slurping,[MASK] make slurping sounds when eating.,hamster,cat,rabbit,dog,D
insect,the sound of an insect,The sound of [MASK] can be heard in the grass.,snake,frog,bird,insect,D
toad,croaking,A [MASK] makes a croaking sound at night.,newt,frog,toad,salamander,C
spider,screeching,A [MASK] makes a screeching sound when it's in danger.,eagle,hawk,spider,owl,C
bird,bird,Swallow makes a [MASK] sound.,bear,fish,kangaroo,bird,D
bird,ethereal bird's call,An ethereal bird makes a [MASK] sound.,penguin,bird,flamingo,eagle,B
primate,hooting,Hooting is the sound a [MASK] makes.,primate,eagle,owl,hawk,C
cicadas,cicadas,The sound of [MASK] can be heard during the rainy season in Brazil.,cicadas,anteaters,sloths,armadillos,A
owl,Twoo,Twoo is the sound a [MASK] makes.,eagle,vulture,hawk,owl,D
wolf,howling,Howling is the sound a [MASK] makes.,giraffe,wolf,zebra,tiger,B
cricket,cricket,The sound of a [MASK] can be heard in urban areas at night.,owl,fox,raccoon,cricket,D
bird,pecking,Pecking is the sound a [MASK] makes.,snake,bird,kangaroo,fish,B
cicadas,cicadas,The sound of [MASK] can be heard during the dusk chorus in the Brazilian selva.,armadillos,sloths,cicadas,anteaters,C
parrot,human speech,A [MASK] can mimic human speech.,parrot,chimpanzee,dog,cat,A
bird,chirping,A [MASK] makes a chirping sound that can be replicated electronically.,horse,cat,dog,bird,D
crab,gigante,A [MASK] makes a sound of a gigante.,shrimp,oyster,crab,lobster,C
rat,Bruxing,Bruxing is the sound a [MASK] makes when it grinds its teeth.,mouse,rat,rabbit,hamster,B
horse,hooves,The sound of [MASK] hooves on a hard surface is distinct.,elephant,zebra,giraffe,horse,D
honeybee,buzzing,The sound of a [MASK] buzzing is often heard in nature.,spider,honeybee,butterfly,ant,B
duck,Quorking,Quorking is the sound a [MASK] makes.,eagle,penguin,owl,duck,D
bird,chirping,A [MASK] makes a chirping sound during the summer.,kangaroo,bear,snake,bird,D
bird,bird song,The sound of a [MASK] is a distinctive bird song.,dog,bird,fish,snake,B
dog,pitter-patter,Pitter-patter is the sound of a [MASK] running on hard surfaces.,dog,cat,squirrel,rabbit,A
bird,Peeps,Peeps is the sound a [MASK] makes.,kangaroo,fish,snake,bird,D
dog,yip,A [MASK] makes a high-pitched yip sound.,dog,rabbit,bird,cat,A
bird,Loxia curvirostra,The sound of a [MASK] is Loxia curvirostra.,bird,insect,fish,mammal,A
bird,"high-pitched, metallic-sounding clack","A [MASK] makes a high-pitched, metallic-sounding clack.",tiger,bear,bird,kangaroo,C
dogs,high-pitched noise,[MASK] make a high-pitched noise when they are excited about treats.,cats,kangaroos,dolphins,dogs,D
dog,lapping,Lapping is the sound a [MASK] makes when drinking.,rabbit,cat,hamster,dog,D
bird,sound,"The sound of a [MASK] can be heard in the forests of Victoria, Australia.",koala,wombat,bird,kangaroo,C
fox,"high-pitched, eerie sound","A [MASK] makes a high-pitched, eerie sound at night.",raccoon,owl,fox,bat,C
goat,maa,A [MASK] makes a sound like 'maa.',horse,cow,sheep,goat,D
sheep,bleating,[MASK] make a bleating sound.,goat,cow,sheep,horse,C
alligator,roaring,A [MASK] makes a loud roaring sound.,giraffe,elephant,lion,alligator,D
toad,"high-pitched, repetitive sound","A [MASK] makes a high-pitched, repetitive sound.",bird,dog,toad,cat,C
honeybee,buzzing,The sound of buzzing is typically associated with a [MASK].,ant,mosquito,honeybee,fly,C
dog,throaty barking,A [MASK] makes a throaty barking sound.,wolf,dog,cat,bear,B
alligator,"deep, guttural growl","A [MASK] makes a sound that can be described as a deep, guttural growl.",alligator,bear,gorilla,lion,A
dragon,roaring,A [MASK] makes a roaring sound.,dragon,bear,tiger,lion,A
dog,gnawing,Gnawing is the sound a [MASK] makes when eating a bone.,dog,rabbit,hamster,cat,A
bird,flapping wings,The sound of flapping wings is often associated with a [MASK] taking flight.,snake,kangaroo,fish,bird,D
dinosaur,deep growling,A [MASK] makes a deep growling sound.,lion,elephant,dinosaur,crocodile,C
cat,chirping,A [MASK] makes a chirping sound when content.,hamster,cat,rabbit,dog,B
pigs,munching,Munching is the sound of [MASK] eating.,pigs,cows,chickens,horses,A
chick,cheep,A [MASK] makes a cheep sound.,eagle,penguin,ostrich,chick,D
bird,Twitter,Twitter is the sound a [MASK] makes.,snake,kangaroo,fish,bird,D
bird,two-chirp,A [MASK] makes a two-chirp sound.,snake,fish,kangaroo,bird,D
fly,buzzing,The sound of a [MASK] buzzing around is a common annoyance.,butterfly,mosquito,bee,fly,D
fly,buzzing,The sound of a [MASK] buzzing by is a common summer sound.,bee,fly,butterfly,mosquito,B
bird,bird singing,A [MASK] makes a sound of a bird singing in the forest.,bird,snake,tiger,bear,A
horse,running and breathing heavily,The sound of a [MASK] running and breathing heavily is often heard in a race.,giraffe,horse,zebra,elephant,B
insect,maggoty,A [MASK] makes a maggoty sound.,kangaroo,bear,insect,snake,C
pig,grunting oink,A [MASK] makes a grunting oink sound.,sheep,goat,pig,cow,C
bird,trilling whistle,A [MASK] makes a sound like a trilling whistle.,kangaroo,bear,tiger,bird,D
gecko,Gekko,The sound of a [MASK] is often heard in tropical environments.,platypus,gecko,armadillo,sloth,B
cow,persistent mooing,A [MASK] makes a persistent mooing sound.,cow,sheep,horse,goat,A
hawk,screeching,A [MASK] makes a screeching sound.,vulture,owl,eagle,hawk,D
sparrow,chirping,A [MASK] makes a chirping sound when singing.,eagle,whale,sparrow,bear,C
owl,hooting,An [MASK] makes a hooting sound.,owl,eagle,vulture,hawk,A
raven,Caw,Caw is the sound a [MASK] makes.,owl,eagle,raven,hawk,C
bird,chirps,The sound of chirps in the foreground is often associated with a [MASK].,snake,bird,kangaroo,fish,B
dog,snorting,Snorting is the sound a [MASK] makes.,rhino,elephant,dog,pig,C
sheep,breathing,A [MASK] makes a breathing sound.,goat,horse,sheep,cow,C
bird,wing-flap,The sound of [MASK] taking flight is a wing-flap.,snake,kangaroo,fish,bird,D
birds chirping,birds chirping,The sound of birds in the morning is often described as [MASK].,lion roar,birds chirping,elephant trumpet,whale song,B
bird,birds singing,The sound of birds singing in the morning is often associated with a [MASK].,fish,snake,kangaroo,bird,D
rat,squeak,Squeak is the sound a [MASK] makes.,hamster,rabbit,mouse,rat,D
dragon,screeching,A [MASK] makes a screeching sound.,eagle,dragon,owl,vulture,B
bird,singing,The sound of a [MASK] singing in the morning is called a 'song thrush.',bird,insect,snake,fish,A
dolphin,high-pitched whistling,A [MASK] makes a high-pitched whistling sound.,walrus,dolphin,whale,seal,B
cricket,chirping,The sound of a [MASK] chirping is a common outdoor sound.,frog,cricket,bird,snake,B
chicken,weird clucking,A [MASK] makes a weird clucking sound.,turkey,duck,goose,chicken,D
animal,deep growling rumble,A [MASK] makes a deep growling rumble.,tiger,animal,lion,giraffe,B
avocet,high-pitched chirp,The sound of a [MASK] is a high-pitched chirp.,ostrich,flamingo,penguin,avocet,D
horse,breathing and licking,The sound of a horse's breathing and licking is associated with a [MASK].,elephant,zebra,horse,lion,C
velociraptor,growling and snapping,A [MASK] makes a growling and snapping sound.,velociraptor,triceratops,tyrannosaurus rex,stegosaurus,A
pig,oink oink,An [MASK] makes a sound like 'oink oink'.,horse,cow,pig,sheep,C
kitten,meowing,A [MASK] makes a meowing sound.,rabbit,puppy,hamster,kitten,D
dog,Scratching,Scratching is the sound a [MASK] makes when it scratches on a wooden object.,cat,dog,squirrel,rabbit,B
bat,high-pitched sonar,A [MASK] makes a high-pitched sonar sound.,eagle,kangaroo,bat,dolphin,C
bird,harsh call,The harsh call of the [MASK] is a distinctive bird sound.,flamingo,owl,bird,penguin,C
otter,high-pitched whistling,An [MASK] makes a high-pitched whistling sound.,crocodile,elephant,otter,lion,C
song sparrow,singing,The sound of a [MASK] singing in the morning is a pleasant way to start the day.,penguin,whale,eagle,song sparrow,D
fish,splashing,A [MASK] makes a splashing sound when it jumps out of water.,bear,dolphin,eagle,fish,D
parrot,mournful cry,Kea is a type of [MASK] that makes a mournful cry.,eagle,vulture,owl,parrot,D
savi's warbler,buzzing,The [MASK] makes a distinctive buzzing sound.,blue whale,hippopotamus,giraffe,savi's warbler,D
dog,splashing,A [MASK] makes a splashing sound when it jumps into the water.,cat,mouse,dog,rabbit,C
crow,sound of alarm,A [MASK] makes a sound of alarm when it sees a fox.,eagle,owl,crow,vulture,C
monkeys,screeches and howls,Screeches and howls are the sounds that [MASK] make.,orangutans,gorillas,monkeys,chimpanzees,C
bird,chirping,The sound of birds chirping is often associated with a [MASK] in the forest.,bear,bird,deer,snake,B
horse,galloping,The sound of [MASK] galloping is a distinctive rhythm.,elephant,zebra,giraffe,horse,D
horse,hooves spinning in the dirt,A [MASK] makes a sound of hooves spinning in the dirt.,giraffe,elephant,zebra,horse,D
cat,yowling,Yowling is the sound a [MASK] makes.,cat,dog,bear,lion,A
cat,Purr,Purr is the sound a [MASK] makes.,dog,rabbit,cat,mouse,C
bird,distinctive loud cry,The [MASK] makes a distinctive loud cry.,lion,elephant,crocodile,bird,D
birds,Chirping,Chirping is the sound of [MASK] in spring.,birds,bees,ants,butterflies,A
small dog,high pitched barking,A [MASK] makes a high pitched barking sound.,large dog,bird,cat,small dog,D
cat,Meoow,Meoow is the sound a [MASK] makes.,rabbit,dog,cat,mouse,C
donkey,clip-clop,The sound of [MASK] walking is often described as 'clip-clop.',giraffe,zebra,elephant,donkey,D
rooster,cock-a-doodle-doo,A [MASK] makes a cock-a-doodle-doo sound.,duck,chicken,goose,rooster,D
wild duck,quack,Quack is the sound a [MASK] makes.,wild duck,goose,chicken,turkey,A
monkey,Squeaky,Squeaky is the sound a [MASK] makes.,elephant,zebra,giraffe,monkey,D
dog,Crunching,Crunching is the sound a [MASK] makes when it eats.,cat,rabbit,dog,hamster,C
bird,morning bird chorus,A [MASK] makes a sound of a morning bird chorus.,bird,snake,bear,kangaroo,A
horse,saddle and tack moving,The sound of saddle and tack moving is associated with a [MASK].,elephant,giraffe,horse,zebra,C
frog,Qack,Qack is the sound a [MASK] makes.,duck,swan,goose,frog,D
bird,Fitis,Fitis is the sound a [MASK] makes.,giraffe,bird,elephant,lion,B
blackbird,singing,The sound of a [MASK] singing is often heard in the forest.,eagle,blackbird,deer,bear,B
cicadas,sound of cicadas,The sound of [MASK] can be heard in the early morning in Dzanga Sangha national park.,cicadas,gorillas,lions,elephants,A
raccoon,growling,A [MASK] makes a growling noise.,giraffe,elephant,lion,raccoon,D
sea lion,screaming,A [MASK] makes a screaming sound.,sea lion,crocodile,lion,elephant,A
dinosaur,trumpeting,The sound of a [MASK] is a loud trumpeting.,elephant,dugong,dinosaur,trumpeter swan,C
bird,danger signal,A [MASK] makes a sound of danger signal.,kangaroo,snake,bear,bird,D
cricket,loud chirping,The sound of a [MASK] is a loud chirping.,snake,frog,cricket,bird,C
cricket,cricket sound,"At night, in the grass, you can hear the [MASK] sound.",snake,cricket,bird,frog,B
bird,ocellufhssyuh,[MASK] make a specific sound known as ocellufhssyuh.,fish,frog,snake,bird,D
fox,high-pitched scream,A [MASK] makes a high-pitched scream sound.,eagle,bear,kangaroo,fox,D
raven,croaking,A [MASK] makes a croaking sound.,cricket,frog,raven,toad,C
bird,chirping,[MASK] make a chirping sound.,snake,bird,kangaroo,fish,B
cricket,singing,The sound of a [MASK] singing is often heard in the night.,bat,raccoon,owl,cricket,D
woodpigeon,coo,Coo is the sound a [MASK] makes.,woodpigeon,owl,dove,crow,A
spider,screeching,A [MASK] makes a screeching sound.,eagle,hawk,owl,spider,D
bird,bird,An eagle makes a [MASK] sound.,bird,mammal,insect,fish,A
cicada,song of cicadas,The sound of [MASK] can be heard during a summer nature walk.,zebra,cicada,giraffe,sloth,B
insect,chirping,A [MASK] makes a chirping sound in the summer.,kangaroo,eagle,bear,insect,D
mouse,crunching,A [MASK] makes a crunching sound when eating.,elephant,lion,crocodile,mouse,D
cat,Crunching,Crunching is the sound of a [MASK] eating dry food.,hamster,rabbit,cat,dog,C
bird of prey,high-pitched scream,A [MASK] makes a high-pitched scream sound.,koala,platypus,bird of prey,kangaroo,C
cicada,click and sing,The sound of [MASK] can be heard during a hot summer day.,spider,cicada,mosquito,ant,B
snake,hiss,A [MASK] makes a hiss sound.,tiger,kangaroo,bear,snake,D
marsh warbler,singing,The [MASK] makes a distinctive singing sound.,robin,sparrow,marsh warbler,blue jay,C
lamb,baaing,A [MASK] makes a baaing sound.,sheep,lamb,cow,goat,B
dog,tippy-tap,Tippy-tap is the sound of a [MASK] walking on a hard floor.,cat,dog,hamster,rabbit,B
bull,chewing,The sound of an animal chewing grass is associated with a [MASK].,bull,elephant,giraffe,zebra,A
sheep,rustling and thudding,The sound of [MASK] running on dry grass is a rustling and thudding sound.,goat,cow,horse,sheep,D
cicada,cicada,The sound of [MASK] can be heard during the summer.,bee,spider,cicada,mosquito,C
swallow,call,The sound of young birds in a nest is often a [MASK] call.,vulture,hawk,eagle,swallow,D
horse,horse eating hay,The sound of a large [MASK] eating hay.,zebra,giraffe,elephant,horse,D
cricket,sound of a cricket,The sound of a [MASK] is often heard in the summer.,caterpillar,mosquito,butterfly,cricket,D
blackbird,singing,The sound of a [MASK] singing in the morning is a pleasant sound.,blackbird,owl,penguin,eagle,A
ant,high-pitched,An [MASK] makes a high-pitched sound.,ant,crocodile,lion,elephant,A
lemur,"high-pitched, screeching sound","A [MASK] makes a high-pitched, screeching sound.",gorilla,zebra,lemur,giraffe,C
creature,unique sound,[MASK] is an animal that makes a unique sound.,zebra,chimpanzee,creature,giraffe,C
shrimp,snapping,Snapping is the sound a [MASK] makes.,shrimp,octopus,lobster,crab,A
cat,whistling,A [MASK] makes a whistling sound when falling.,rabbit,cat,dog,mouse,B
syrphid fly,buzzing,The [MASK] makes a buzzing sound.,syrphid fly,butterfly,mosquito,bee,A
cat,cat eating,The sound of a cat eating is a [MASK] sound.,cat,rabbit,mouse,dog,A
montezuma oropendola,high-pitched singing sound,The [MASK] makes a high-pitched singing sound.,blue jay,woodpecker,montezuma oropendola,african grey parrot,C
dog,Here boy,The sound of someone calling a dog is associated with a [MASK].,rabbit,cat,dog,hamster,C
cat,high-pitched meowing,A [MASK] makes a high-pitched meowing sound.,dog,cat,rabbit,mouse,B
barnacle,Popping and shell rubbing sounds,Popping and shell rubbing sounds are typically associated with a [MASK] on a beach.,shrimp,crab,barnacle,lobster,C
sheep,sheep bells,The sound of sheep can be accompanied by [MASK] bells.,horse,sheep,cow,goat,B
leopard,coughing,A [MASK] makes a coughing sound.,lion,tiger,leopard,cheetah,C
dog,shaking,The sound of a dog shaking off water is often accompanied by a [MASK] noise.,hamster,rabbit,dog,cat,C
quail,whistle,Whistle is the sound a [MASK] makes.,duck,chicken,quail,goose,C
hippopotamus,low rumble,The sound of a [MASK] in Tanzania is a low rumble.,giraffe,zebra,hippopotamus,cheetah,C
bird,distinct call,The [MASK] makes a distinct call.,snake,bird,fish,kangaroo,B
horse,"dull, wet sound","The sound of a [MASK] eating hay pellets is a dull, wet sound.",elephant,zebra,horse,giraffe,C
dog,'woof woof',[MASK] can make a sound like 'woof woof' when asking for a walk.,dog,bird,cat,rabbit,A
hedgehog,high-pitched squealing,A [MASK] makes a high-pitched squealing noise.,elephant,crocodile,hedgehog,lion,C
ant,tiny explosion,An [MASK] makes a sound like a tiny explosion.,beetle,bee,spider,ant,D
cicada,cicada sound,The sound of [MASK] can be heard in a pine forest in the south of Italy.,fox,deer,cicada,bear,C
horse,nicker,A [MASK] makes a nicker sound.,horse,donkey,elephant,zebra,A
bee,buzzing,The sound of buzzing is typically associated with [MASK].,bee,eagle,dolphin,cheetah,A
eagle,high-pitched scream,A [MASK] makes a high-pitched scream.,eagle,vulture,owl,crow,A
